title,author,categories,total_commands,num_package,num_newcommand,num_newtheorem,num_cite,num_ref,num_label,num_section,file_name
A Birkhoff-Bruhat Atlas for partial flag varieties,Huanchen BaoXuhua He,RT,2400,13,257,18,83,98,14,6,./CSVs/RT-2007.09873.csv
Merge trees in discrete Morse theory,"Benjamin Johnson, Nicholas A. Scoville",AT,799,23,8,12,26,34,3,6,./CSVs/AT-MergeTreeDMTarXiv 2.csv
Semi-algebraic motives,Annette Huber,AG,217,13,58,13,20,2,1,7,./CSVs/AG-sa.csv
THH and TC are (very) far from being homotopy functors,Elden Elmanto,AT,360,0,1,0,106,45,6,4,./CSVs/AT-a1-c-final.csv
Counting multiplicative groups with prescribed subgroups,Jenna DowneyGreg Martin,NT,2419,7,16,7,20,130,8,3,./CSVs/NT-CMGPS.csv
Hypertranscendency of Perturbations of Hypertranscendental Functions,Jiaxing HuangTuen-Wai Ng,CV,627,7,0,17,24,181,9,6,./CSVs/CV-PerturbationsArxiv.csv
Kawamata log terminal singularities of full rank,Joaqu\'in Moraga,AG,805,14,65,26,47,97,13,7,./CSVs/AG-2007.10322 2.csv
Merge trees in discrete Morse theory,"Benjamin Johnson, Nicholas A. Scoville",AT,799,23,8,12,26,34,3,6,./CSVs/AT-MergeTreeDMTarXiv.csv
,,GN,1962,24,74,40,12,34,4,6,./CSVs/GN-2007.09711.csv
Persistence properties for the dispersion generalized BO-ZK equation in weighted anisotropic Sobolev spaces,Alysson CunhaAdemir Pastor,AP,4530,6,50,9,103,144,2,3,./CSVs/AP-2007.10171 2.csv
A de Branges-Beurling theorem for the full Fock space,Robert T.W. MartinEli Shamovich,FA,2109,17,61,11,62,51,3,7,./CSVs/FA-NC_dBR_paper_July16.csv
,,NT,881,6,2,16,23,19,6,5,./CSVs/NT-2007.09787.csv
nan,Agata Smoktunowicz,RA,217,5,0,10,65,23,3,6,./CSVs/RA-2007.09403.csv
A Note on Congruences for Weakly Holomorphic Modular Forms,"Spencer Dembner\thanks{Both authors were supported by the NSF (DMS-2002265), the NSA (H98230-20-1-0012), the Templeton World Charity Foundation, and the Thomas Jefferson Fund at the University of Virginia.",NT,304,18,101,10,7,9,3,2,./CSVs/NT-Final_Draft.csv
nan,,RA,752,11,10,8,41,48,0,3,./CSVs/RA-2007.10230.csv
Kawamata log terminal singularities of full rank,Joaqu\'in Moraga,AG,805,14,65,26,47,97,13,7,./CSVs/AG-2007.10322.csv
On the quasitriangular structures of abelian extensions of  ,Kun Zhou and Gongxiang Liu,QA,4478,7,0,11,19,499,123,4,./CSVs/QA-2007.09876.csv
nan,"Ruming Gong, Manasa N. Vempati, Qingyan Wu and Peizhu Xie",CV,1257,17,10,8,45,41,0,3,./CSVs/CV-2007.10157.csv
Model Theory of Adeles and Number Theory,Jamshid Derakhshan,LO,2361,8,2,15,462,211,53,20,./CSVs/LO-Adeles-survey.csv
nan,Mohamad CharabatiAhmed Zeriahi,CV,2569,8,19,7,94,130,4,7,./CSVs/CV-2007.10194.csv
Extremal  -adic  -functions,Santiago Molina Blanco,NT,528,10,94,12,16,19,3,5,./CSVs/NT-Extremal-p-adicLfunction.csv
Numbers which are orders only of cyclic groups,Paul Pollack,NT,496,2,2,10,41,57,7,3,./CSVs/NT-2007.09734.csv
Infinitesimal Torelli for elliptic surfaces revisited,Remke Kloosterman,AG,328,2,23,9,30,49,10,6,./CSVs/AG-Torelli2020b 2.csv
Completeness of exponentials and Beurling's Theorem regarding Fourier transform on   and  ,\tiny{ Santanu Debnath and Suparna Sen,FA,338,9,10,5,11,45,2,1,./CSVs/FA-2007.09458.csv
nan,Elena AngeliniLuca Chiantini,AG,1032,11,24,10,71,77,11,5,./CSVs/AG-nonics.csv
Minimal conditions for BMO,Javier CantoCarlos P\'erezEzequiel Rela,CA,884,5,6,10,38,27,6,3,./CSVs/CA-2007.10104.csv
Persistence properties for the dispersion generalized BO-ZK equation in weighted anisotropic Sobolev spaces,Alysson CunhaAdemir Pastor,AP,4530,6,50,9,103,144,2,3,./CSVs/AP-2007.10171.csv
Maximum Likelihood Estimation for matrix normal models via quiver representations,Harm Derksen and Visu Makam,RT,1246,8,42,11,246,140,20,8,./CSVs/RT-2007.10206.csv
Nakayama automorphisms of graded Ore extensions of Koszul Artin-Schelter regular algebras,Y. ShenY. Guo,RA,3526,10,6,11,52,127,3,5,./CSVs/RA-2007.10197.csv
An example concerning Fourier analytic criteria for translational tiling,Nir Lev,FA,880,2,50,14,37,0,69,6,./CSVs/FA-2007.09930.csv
Semi-algebraic motives,Annette Huber,AG,217,13,58,13,20,2,1,7,./CSVs/AG-sa 2.csv
" -adic model theory,  -adic integrals, Euler products, and zeta functions of groups",Jamshid Derakhshan,LO,867,8,2,15,144,52,9,13,./CSVs/LO-zeta-survey.csv
A barely connected topological space made from diamond,Samuel M. Corson,GN,959,6,14,16,6,109,1,1,./CSVs/GN-2007.10195.csv
Gromov-Hausdorff convergence of quantised intervals,Thomas GotfredsenJens KaadDavid Kyed,QA,1040,20,152,26,90,65,10,3,./CSVs/QA-2007.09694.csv
Pure metric geometry:\\ introductory lectures,Anton Petrunin,MG,33,2,0,0,3,0,0,0,./CSVs/MG-pure-metric.csv
Characterizations of the Cauchy distribution associated with integral transforms,Kazuki Okamura,ST,226,8,0,13,10,15,0,3,./CSVs/ST-GFT-Cauchy-revised.csv
On Biproducts and Extensions,"Yevgenia Kashina, Yorck Sommerh\""auser",QA,1923,5,58,9,256,216,37,8,./CSVs/QA-2007.10072.csv
nan,M. V. Kondratieva,AC,555,2,7,8,23,35,0,3,./CSVs/AC-2007.09987.csv
Axioms for Commutative Unital Rings elementarily Equivalent to Restricted Products of Connected Rings,Jamshid DerakhshanAngus Macintyre ,LO,600,8,2,13,66,7,2,3,./CSVs/LO-axioms.csv
Capacitance matrix revisited,Ivica Smoli\'c and Bruno Klajn,MP,1254,12,40,3,212,47,12,12,./CSVs/MP-CMx.csv
